Time,Total Motor Energy
10.224,1628.589
10.248,1628.589
10.272,1628.589
10.296,1628.589
10.320,1628.589
10.344,1628.589
10.368,1628.589
10.392,1628.589
10.416,1628.589
10.440,1628.589
10.464,1628.589
10.488,1628.589
10.512,1628.589
10.536,1628.589
10.560,1628.589
10.584,1628.589
10.608,1628.589
10.632,1628.589
10.656,1628.589
10.680,1628.589
10.704,1628.589
10.728,1628.589
10.752,1628.589
10.776,1628.589
10.800,1628.589
10.824,1628.589
10.848,1628.589
10.872,1628.589
10.896,1628.589
10.920,1628.589
10.944,1628.589
10.968,1628.589
10.992,1628.589
11.016,1628.589
11.040,1628.589
11.064,1628.589
11.088,1628.589
11.112,1628.589
11.136,1628.589
11.160,1628.589
11.184,1628.589
11.208,1628.589
11.232,1628.589
11.256,1628.589
11.280,1628.589
11.304,1628.589
11.328,1628.589
11.352,1628.589
11.376,1628.589
11.400,1628.589
11.424,1628.589
11.448,1628.589
11.472,1628.589
11.496,1628.589
11.520,1628.589
11.544,1628.589
11.568,1628.589
11.592,1628.589
11.616,1628.589
11.640,1628.589
11.664,1628.589
11.688,1628.589
11.712,1628.589
11.736,1628.589
11.760,1628.589
11.784,1628.589
11.808,1628.589
11.832,1628.601
11.856,1632.848
11.880,1641.577
11.904,1659.305
11.928,1685.897
11.952,1723.674
11.976,1775.076
12.000,1839.091
12.024,1905.109
12.048,1944.059
12.072,1963.467
12.096,1984.878
12.120,2008.718
12.144,2035.979
12.168,2065.423
12.192,2094.849
12.216,2123.771
12.240,2152.168
12.264,2180.032
12.288,2207.408
12.312,2234.357
12.336,2260.886
12.360,2286.978
12.384,2312.646
12.408,2337.891
12.432,2362.723
12.456,2387.152
12.480,2411.222
12.504,2434.955
12.528,2458.340
12.552,2481.375
12.576,2504.066
12.600,2526.427
12.624,2548.460
12.648,2570.179
12.672,2591.606
12.696,2612.743
12.720,2633.584
12.744,2654.138
12.768,2674.415
12.792,2694.419
12.816,2714.162
12.840,2733.636
12.864,2752.846
12.888,2771.797
12.912,2790.502
12.936,2808.967
12.960,2827.194
12.984,2845.182
13.008,2862.933
13.032,2880.460
13.056,2897.760
13.080,2914.839
13.104,2931.706
13.128,2948.369
13.152,2963.428
13.176,2971.797
13.200,2974.362
13.224,2976.012
13.248,2978.033
13.272,2980.222
13.296,2982.232
13.320,2984.036
13.344,2985.427
13.368,2986.396
13.392,2987.169
13.416,2987.792
13.440,2988.375
13.464,2988.948
13.488,2989.531
13.512,2990.115
14.904,2990.115
14.928,3023.098
14.952,3023.604
14.976,3025.397
15.000,3031.705
15.024,3045.094
15.048,3062.788
15.072,3076.537
15.096,3081.649
15.120,3085.343
15.144,3088.267
15.168,3091.206
15.192,3094.168
15.216,3097.177
15.240,3100.234
15.264,3103.333
15.288,3106.478
15.312,3109.670
15.336,3112.905
15.360,3116.189
15.384,3119.546
15.408,3122.969
15.432,3126.464
15.456,3130.024
15.480,3133.645
15.504,3137.333
15.528,3141.092
15.552,3144.915
15.576,3148.812
15.600,3152.810
15.624,3156.913
15.648,3161.116
15.672,3165.409
15.696,3169.786
15.720,3174.254
15.744,3178.813
15.768,3183.403
15.792,3188.109
15.816,3192.953
15.840,3197.893
15.864,3202.916
15.888,3208.014
15.912,3213.172
15.936,3218.451
15.960,3223.774
15.984,3229.162
16.008,3234.573
16.032,3239.942
16.056,3245.296
16.080,3250.595
16.104,3255.748
16.128,3260.124
16.152,3262.789
16.176,3263.883
16.200,3263.883
16.224,3263.883
16.248,3263.883
16.272,3263.883
16.296,3263.883
16.320,3263.883
16.344,3263.883
16.368,3263.883
16.392,3263.883
16.416,3265.296
16.440,3271.517
16.464,3281.464
16.488,3294.261
16.512,3310.076
16.536,3327.484
16.560,3345.787
16.584,3363.420
16.608,3380.284
16.632,3396.984
16.656,3413.498
16.680,3429.985
16.704,3446.460
16.728,3462.918
16.752,3479.359
16.776,3495.788
16.800,3512.200
16.824,3528.596
16.848,3544.979
16.872,3561.345
16.896,3577.696
16.920,3594.027
16.944,3610.340
16.968,3626.635
16.992,3642.915
17.016,3659.176
17.040,3675.418
17.064,3691.646
17.088,3707.855
17.112,3724.046
17.136,3740.223
17.160,3756.381
17.184,3772.521
17.208,3788.648
17.232,3804.756
17.256,3820.846
17.280,3836.923
17.304,3852.998
17.328,3869.063
17.352,3885.196
17.376,3901.486
17.400,3917.951
17.424,3934.555
17.448,3951.368
17.472,3968.531
17.496,3986.088
17.520,4004.088
17.544,4022.533
17.568,4041.431
17.592,4060.839
17.616,4080.759
17.640,4101.156
17.664,4122.031
17.688,4143.372
17.712,4165.167
17.736,4187.404
17.760,4210.059
17.784,4233.099
17.808,4256.499
17.832,4280.227
17.856,4304.275
17.880,4328.609
17.904,4353.198
17.928,4378.015
17.952,4402.995
17.976,4428.055
18.000,4453.208
18.024,4478.460
18.048,4503.800
18.072,4529.190
18.096,4554.494
18.120,4579.652
18.144,4604.739
18.168,4629.770
18.192,4654.761
18.216,4679.725
18.240,4704.649
18.264,4729.537
18.288,4754.395
18.312,4779.213
18.336,4803.994
18.360,4828.796
18.384,4853.540
18.408,4878.238
18.432,4902.902
18.456,4927.522
18.480,4952.098
18.504,4976.641
18.528,5001.142
18.552,5025.601
18.576,5050.027
18.600,5074.414
18.624,5098.760
18.648,5123.075
18.672,5147.339
18.696,5171.554
18.720,5195.738
18.744,5219.880
18.768,5243.981
18.792,5268.053
18.816,5292.087
18.840,5316.083
18.864,5340.055
18.888,5363.993
18.912,5387.896
18.936,5411.778
18.960,5435.625
18.984,5459.438
19.008,5483.230
19.032,5506.992
19.056,5530.727
19.080,5554.445
19.104,5578.140
19.128,5601.813
19.152,5625.431
19.176,5649.026
19.200,5672.604
19.224,5696.175
19.248,5719.730
19.272,5743.274
19.296,5766.818
19.320,5790.354
19.344,5813.980
19.368,5837.577
19.392,5861.176
19.416,5884.776
19.440,5908.392
19.464,5932.019
19.488,5955.594
19.512,5978.524
19.536,6000.062
19.560,6019.902
19.584,6038.028
19.608,6054.343
19.632,6068.880
19.656,6081.731
19.680,6093.047
19.704,6103.155
19.728,6112.178
19.752,6120.351
19.776,6127.826
19.800,6134.903
19.824,6141.828
19.848,6148.785
19.872,6155.672
19.896,6162.556
19.920,6169.423
19.944,6176.239
19.968,6183.023
19.992,6189.775
20.016,6196.547
20.040,6203.363
20.064,6210.237
20.088,6217.247
20.112,6224.404
20.136,6231.716
20.160,6239.191
20.184,6246.848
20.208,6254.707
20.232,6262.805
20.256,6271.152
20.280,6279.779
20.304,6288.705
20.328,6297.982
20.352,6307.659
20.376,6317.776
20.400,6328.428
20.424,6339.718
20.448,6351.723
20.472,6364.601
20.496,6378.514
20.520,6393.615
20.544,6410.258
20.568,6428.856
20.592,6449.657
20.616,6472.940
20.640,6498.642
20.664,6526.151
20.688,6553.893
20.712,6578.918
20.736,6599.342
20.760,6615.014
20.784,6627.014
20.808,6637.080
20.832,6645.786
20.856,6653.965
20.880,6661.905
20.904,6669.830
20.928,6677.550
20.952,6685.112
20.976,6692.577
21.000,6699.954
21.024,6707.431
21.048,6715.151
21.072,6723.186
21.096,6729.250
21.120,6734.698
21.144,6742.965
21.168,6754.945
21.192,6769.736
21.216,6781.983
21.240,6792.018
21.264,6802.132
21.288,6812.574
21.312,6823.297
21.336,6833.932
21.360,6844.443
21.384,6854.848
21.408,6865.144
21.432,6875.331
21.456,6885.417
21.480,6895.399
21.504,6905.277
21.528,6915.060
21.552,6924.742
21.576,6934.325
21.600,6943.816
21.624,6953.197
21.648,6962.485
21.672,6971.685
21.696,6980.793
21.720,6989.812
21.744,6998.746
21.768,7007.591
21.792,7016.350
21.816,7025.028
21.840,7033.622
21.864,7042.132
21.888,7050.564
21.912,7058.916
21.936,7067.188
21.960,7075.386
21.984,7083.505
22.008,7091.549
22.032,7099.524
22.056,7107.425
22.080,7115.254
22.104,7123.014
22.128,7130.701
22.152,7138.318
22.176,7145.869
22.200,7153.350
22.224,7160.763
22.248,7168.113
22.272,7175.396
22.296,7182.613
22.320,7189.769
22.344,7196.861
22.368,7203.890
22.392,7210.860
22.416,7217.768
22.440,7224.615
22.464,7231.406
22.488,7238.152
22.512,7244.840
22.536,7251.473
22.560,7258.049
22.584,7264.568
22.608,7271.034
22.632,7277.444
22.656,7283.799
22.680,7290.104
22.704,7296.354
22.728,7302.552
22.752,7308.699
22.776,7314.796
22.800,7320.841
22.824,7326.838
22.848,7332.785
22.872,7338.683
22.896,7344.534
22.920,7350.337
22.944,7356.093
22.968,7361.803
22.992,7367.466
23.016,7373.085
23.040,7378.659
23.064,7384.189
23.088,7389.674
23.112,7395.117
23.136,7400.516
23.160,7405.872
23.184,7411.187
23.208,7416.459
23.232,7421.690
23.256,7426.881
23.280,7432.032
23.304,7437.142
23.328,7442.213
23.352,7447.245
23.376,7452.237
23.400,7457.192
23.424,7462.109
23.448,7466.988
23.472,7471.831
23.496,7476.636
23.520,7481.405
23.544,7486.139
23.568,7490.836
23.592,7495.498
23.616,7500.125
23.640,7504.718
23.664,7509.276
23.688,7513.800
23.712,7518.291
23.736,7522.748
23.760,7527.172
23.784,7531.563
23.808,7535.922
23.832,7540.249
23.856,7544.544
23.880,7548.808
23.904,7553.040
23.928,7557.242
23.952,7561.408
23.976,7565.553
24.000,7569.676
24.024,7573.784
24.048,7577.869
24.072,7581.935
24.096,7585.971
24.120,7589.863
24.144,7593.476
24.168,7596.685
24.192,7599.553
24.216,7601.936
24.240,7603.823
24.264,7605.401
24.288,7606.671
24.312,7607.664
24.336,7608.408
24.360,7609.180
24.384,7610.213
24.408,7611.647
24.432,7613.522
24.456,7615.653
24.480,7617.879
